Language,Approx   headwords,Approx   definitions,Dictionary,Notes
Persian,343466,,"Dehkhoda Dictionary 1998 parseroutput citecitationfontstyleinheritwordwrapbreakwordparseroutput citation quotes:""\""""""\""""""'""""'""}parseroutput citationtargetbackgroundcolorrgba0,127,255,0133parseroutput lockfree parseroutput citation cs1lockfree backgroundurl(""//uploadwikimediaorgwikipediacommonsLockgreensvgright 1em center9px repeatparseroutput locklimited parseroutput lockregistration parseroutput citation cs1locklimited parseroutput citation cs1lockregistration backgroundurl(""//uploadwikimediaorgwikipediacommonsLockgrayaltsvgright 1em center9px repeatparseroutput locksubscription parseroutput citation cs1locksubscription backgroundurl(""//uploadwikimediaorgwikipediacommonsLockredaltsvgright 1em center9px repeatparseroutput cs1icon backgroundurl(""//uploadwikimediaorgwikipediacommonsWikisourcelogosvgright 1em center12px repeatparseroutput cs1codecolorinheritbackgroundinheritbordernonepaddinginheritparseroutput cs1hiddenerrordisplaynonecolord33parseroutput cs1visibleerrorcolord33parseroutput cs1maintdisplaynonecolor3a3marginleft3emparseroutput cs1formatfontsizeparseroutput cs1kernleftpaddingleft2emparseroutput cs1kernrightpaddingright2emparseroutput citation selflinkfontweightinheritISBN 9789640396025","The original series initially consisted   million records Persian فیش French fiche  برگه barge   100 meaningsrecords for each word  proper noun until Dehkhoda's death  March 1956 and currently contains 343,466 entries that according  the latest digital release  the dictionary  Tehran University Press version  are based   evergrowing library  over 2300 volumes  lexicology and various other scientific fieldscircular reference"
Norwegian,330000,,Norsk Ordbok,"The finished dictionary has about 330,000 headwords whereas the corpus it's built upon contains about 500,000 words  total"
German,330000,,Deutsches Wörterbuch,"330,000 words  use since the midfifteenth century"
Turkish,316000,,Ötüken Türkçe Sözlük,"Turkish dictionary modern and Ottoman Turkish includes 316,000 entries"
Dutch,300000,,Etymologisch woordenboek van het Nederlands,
Norwegian,300000,,Tanums store rettskrivningsordbok  utgave, dictionary  orthography
Ukrainian,300000,,Український лексикон кінця XVIII  початку XXI  словникіндекс   томах,Лексичний словник
Gujarati,281377,,Bhagavadgomandal, lakh words and their meanings   volumes Also serves   encyclopedia with almost  lakh words
English,273000,600000,Oxford English Dictionary Second Edition,"Oxford Dictionary has 273,000 headwords 171,476  them being  current use 47,156 being obsolete words and around 9,500 derivative words included  subentries The dictionary contains 157,000 combinations and derivatives  bold type and 169,000 phrases and combinations  bold italic type making  total  over 600,000 wordformsThere  one count that puts the English vocabulary  about  million words  but that count presumably includes words such  Latin species names prefixed and suffixed words scientific terminology jargon foreign words  extremely limited English use and technical acronyms"
Urdu,264000,,Urdu Lughat,
Ukrainian,253000,,Великий орфографічний словник сучасної української лексики," dictionary  orthography Contains 253,000 entries 253,000 words"
Czech,250000,,Příruční slovník jazyka českého ,"Nine volumes  this dictionary were printed  years 19351957 They contain about 250,000 words their meanings and example usage from literature The dictionary  available online"
SerboCroatian,241000,,Dictionary  SerboCroatian Literary and Vernacular Language,This dictionary  incomplete  far  volumes  the planned  have been published These  volumes contain 241000 headwords When complete this Dictionary will have around 500000 headwords
Portuguese,228000,382000,Houaiss Dictionary  the Portuguese Language,"228,000 entries and 382,000 meanings"
Belarusian,223000,,Вялікі слоўнік беларускай мовы арфаграфія акцэнтуацыя парадыгматыка,
Russian,220000,250000,Толковый словарь живого великорусского языка,"The 3rd edition  Baudouin  Courtenay contains about 250,000 entries 220,000 words and 30,000 proverbs"
Finnish,201000,,Nykysuomen sanakirja 1961,"Nykysuomen sanakirja can  translated  The Dictionary  Modern Finnish  The Dictionary  Contemporary Finnish but the language can  quite dated the dictionary only reflects the language   was  later than 1961 Even though  has been published again  has not been updated The dictionary contains over 201,000 headwords  six volumes For modern language The New Dictionary  Modern Finnish  more relevant"
German,200000,,Großes Wörterbuch der deutschen Sprache,"Dictionary  the BerlinBrandenburg Academy  Sciences and Humanities  over 200,000 contemporary words"
Norwegian bokmål,200000,,Det Norske Akademis ordbok,"The Norwegian Academy Dictionary contains more than 200,000 entries and more than 300,000 literary quotes Furthermore  contains fixed expressions and pronunciationThe dictionary  free and edited daily"
Danish,200000,,Ordbog over det danske Sprog,Dictionary maintained  the Society for Danish Language and Literature  Covers Danish language use 17001950 The society also maintains  sister dictionary Den Danske Ordbog  covering language use since 1950
Slovak,200000,,Slovník slovenského jazyka   1959  1968 Slovník súčasného slovenského jazyka            2006 2011 2015,Here  the information about the number  words  Slovak written  Jazykovedný ústav  Štúra SAV
Tibetan,195919,,Rangjung Yeshe Dharma Dictionary,"Considering the large number  Buddhist terminology colloquial expressions and modern literary Tibetan neologisms not included  this dictionary the actual total number  probably about twice the number  terms included  this website 195,919 perhaps 375400,000 Tibetan words  total "
Hindi,183175,,Hindi Wiktionary, free dictionary that gives everyone the right  edit
Romanian,180000,,dexonline,"Online dictionary Project  digitisation   general specialty and archaic dictionaries Launched  2001   2013  contained over 180,000 unique words and 576,000 definitions"
Kazakh,166000,, томдық Қазақ тілінің түсіндірме сөздігі,Explanatory dictionary  the Kazakh language
English,155327,207016,WordNet ,11/01/12
Belarusian,150000,,Слоўнік беларускай мовы,
Icelandic,150000,,Orðabók Blöndals,"The dictionary contains 150,000 headwords   volumes"
Russian,150000,,Большой академический словарь русского языка,Great Academy Dictionary  Russian language
Swiss German,150000,,Schweizerisches Idiotikon,"The dictionary contains 150,000 words from the late Middle Ages  today"
German,148000,,Duden  Die deutsche Rechtschreibung,The most influential dictionary  Germany  dictionary  orthography
Polish,140000,,Wielki słownik ortograficzny PWN,Big orthography dictionary PWN contains new words proper nouns and latest spelling changes
German,141154,,German Wiktionary,"Contains 141,154 german gloss entries"
French,135000,,Trésor   Langue Française informatisé,"ATILF Analyse  Traitement Informatique   Langue Française  Computer Processing and Analysis  the French Language135,000 Larousse Dictionnaire  français published  Editions Larousse"
Ukrainian,134058,,Словник української мови The Dictionary  the Ukrainian language,The dictionary was finished  late 1970s  early 1980s
Dutch,134000,,Woordenlijst Nederlandse Taal Het Groene Boekje,
Russian,130000,,Большой толковый словарь русского языка,Great Dictionary  Russian language
Swedish,130000,,Rikstermbanken,Sweden's national term bank
Indonesian,127036,,Kamus Besar Bahasa Indonesia 5th edition 2016,
Swedish,126000,,Svenska Akademiens ordlista SAOL,"Normative Swedish language spelling dictionary includes around 120,000 headwords"
Eastern Armenian,125000,,Ժամանակակից հայոց լեզվի բացատրական բառարան,Žamanakakic hayoc lezvi bac’atrakan baṙaran
Tamil,124405,,University  Madras Tamil Lexicon,"The dictionary includes 124,405 separate entries"
Malaysian,120000,,Kamus Dewan Perdana 1st Edition 2020,
Arabicnotes ,120000,,Tāj ʿArūs min Jawāhir Qāmūs,"The dictionary includes 120,000 entries filling  volumes whereby one entry comprises dozens  words"
Frisian,120000,,Het Wurdboek fan  Fryske taal,Dictionary  New Frisian Nieuwfries from 1800  1975
Finland Swedish,120000,,Ordbok över Finlands svenska folkmål  progress,"The dictionary includes around 120,000 headwords"
Bulgarian,119200,,Dictionary  the Bulgarian Language monolingual academic explanatory dictionary Многотомен Речник  българския език  Bulgarian   volumes,This dictionary covers vocabulary from the last 150 years  Bulgarian and  compiled and edited  linguistics primarily native lexicographers and lexicologists from The Institute for the Bulgarian Language part  the Bulgarian Academy  Sciences  includes basic commonly used literary colloquial dialectical archaic and obsolete Bulgarian words  well  some specialized terminology The latest volume 15th published  2015 ends with headwords beginning with the Bulgarian Cyrillic letter 
French,116000,, Dictionnaire universel francophone DUF,Dictionary published  Hachette
Turkish,114767,,Güncel Türkçe Sözlük,Online dictionary  the Turkish Language Association
Belarusian,112462,,Skarnik,08/01/19
Slovene,110180,,Slovar slovenskega knjižnega jezika Second edition 2014,"The official dictionary  modern Slovene  Slovar slovenskega knjižnega jezika SSKJ Standard Slovene Dictionary  was published  five volumes  Državna Založba Slovenije between 1970 and 1991 and contains more than 100,000 entries and subentries with accentuation partspeech labels common collocations and various qualifiers  the 1990s  electronic version  the dictionary was published and   available online"
Finnish,102174,,Kielitoimiston sanakirja 2018,Online dictionary Institute for the Languages  Finland governmental institute has selected the core vocabulary and many headwords are not included
Afrikaans,100000,,Handwoordeboek van die Afrikaanse Taal HAT 2015,New 6th edition contains 3228 new keywords and 5365 meaning
French,100000,, Grand Robert 2019,"Contains 100,000 words and 350,000 definitions"
German,100000,,Österreichisches Wörterbuch 2018,Official dictionary  the German language  the Republic  Austria
Polish,100000,,Słownik języka polskiego PWN,"Polish dictionary  PWN contains about 100,000 articles and 145,000 definitions"
Russian,100000,,Орфографический словарь русского языка,"Normative Russian dictionary101 the dictionary includes around 100,000 words102"
Turkish,100000,,Misalli Büyük Türkçe Sözlük,"Historical Turkish dictionary modern and Ottoman Turkish includes 100,000 entries104 35,000 idioms based  1000 literary works  400 writers103"
Spanish,93000,,Diccionario   lengua española   Real Academia Española 23rd edition 2014,105
Soranî,92000,,فەرهەنگی زانستگای کوردستان,"Contains 92,000 keywords from Soranî dialect106"
Spanish,90000,,Diccionario  uso del español  2007,"Contains 90,000 keywords and 190,000 meaning"
Dutch,90000,,Van Dale 14th edition 2005,107
Catalan,88500,172000,Gran Diccionari   llengua catalana Great Dictionary  the Catalan language includes the definitions  the Diccionari   llengua catalana,"Contains 88,500 headwords and 172,000 definitions108"
Chinese,85568,,Zhonghua Zihai,The largest character dictionary covering all varieties  Chinese  compilation  Chinese characters  use over three millennia  written history109110111
Arabic,83015,,المعجم المعاصر2019,"The first version 2019 contains approximately 83,015 entries112113"
Arabic,80000,,Lisan Arab,"The dictionary includes around 80,000 entries"
French,80000,,Dictionnaire   langue française,Fourvolume dictionary115  the French language  Émile Littré116
Uzbek,80000,,Oʻzbek tilining izohli lugʻati Annotated Dictionary  the Uzbek Language,"The largest Uzbek language dictionary made  five volumes and including around 80,000 entries117"
Middle Dutch,75000,,Het Middelnederlandsch Woordenboek ,Historical dictionary  Middle Dutch 12501550119
Romanian,67000,,Dicționarul explicativ  limbii române Published  the Romanian Academy,
Tamazight,65716,,Amawal Ameqran Abdelhafed Idres 2017,
Swedish,65000,,Svensk ordbok utgiven  Svenska Akademien Svensk ordbok ,"The dictionary includes around 65,000 headwords120"
Swedish,64000,,Ordbok öfver svenska språket Dalin Ordbok,"The dictionary includes around 64,000 headwords122"
Arabic,60000,,Qamus Muhit  Qabus Wasit,"The dictionary includes around 60,000 entries123"
Dutch,60000,,Groot Woordenboek Afrikaans  Nederlands,DutchAfrikaans dictionary125
Turkish,60000,,OsmanlıcaTürkçe Ansiklopedik Lûgat,"Ottoman Turkish dictionary includes 60,000 entries127"
Galician,59999,,Dicionario  Real Academia Galega Dictionary  the Royal Galician Academy,128
Western Armenian,56000,,Հայոց լեզուի նոր բառարան,Hayoc lezowi nor baṙaran129
Tatar,56000,,Татарскорусский словарь  Асылгараева  Ганиева  Закиева  Миннуллина  Рамазанова,TatarRussian dictionary   Asylgaraev  Ganiev  Zakiyev  Minnullin  Ramazanova130
French,55000,,Dictionnaire  l’Académie française DAF,"Normative French dictionary131 once complete  will contain 55,000 words132"
Dutch,52000,,Woordenlijst Nederlandse Taal,"Normative Dutch dictionary134 the dictionary includes around 52,000 entries and around 134000 derivative words135"
Dutch,50000,,Het Groene woordenboek  Handwoordenboek Nederlands,136
Turkmen,50000,,Türkmen diliniň düşündirişli sözlügi,Turkmen Explanatory Dictionary137
Azerbaijani,44750,,Azərbaycan dilinin izahlı lüğəti,Azerbaijani Explanatory Dictionary138
Syriac,43030,,Sureth dictionary,Published  the Association Assyrophile  France  features Assyrian NeoAramaic Turoyo and Chaldean NeoAramaic words  all dialects139
Icelandic,43000,560000,Orðabók Háskólans,"43,000 basic words and 519,000 compound words  which more than half are attested only once  don't get into print instant combinations140"
Thai,40840,,   ๒๕๕๔,
Bashkir,40000,,Башкирскорусский словарь Ураксин ,BashkirRussian dictionary Uraksin  141
Chuvash,40000,,Чувашскорусский словарь Скворцова  ,ChuvashRussian dictionary Skvortsova  142
Dargwa,40000,,Даргинскорусский словарь Юсупова  ,DargwaRussian dictionary  Yusupov  143
Riksmål,40000,,Riksmålsordlisten,Normative dictionary  the nonofficial Norwegian written language called Riksmål145
Arabic,40000,,Taj Lugha  Sihah Arabiyya,"The dictionary includes around 40,000 entries123"
Classical Latin,39589,,Oxford Latin Dictionary,"Includes 39,589 Classical Latin entries including borrowings from Greek Gaulish other Italic dialects Sanskrit and others There are about 10,000 adjectives 2,123 adverbs  conjunctions  interjections 17,450 nouns  particles  prepositions  pronouns and 5,986 verbs The remaining entries are references  other entries such  alternate spellings  archaic versions prefixes suffixes and terms left untranslated  the original editors146"
Avar,36000,,Аварскорусский словарь Гимбатова  ,AvarRussian dictionary    Gimbatov147
Venetian,36000,,Dizionario della lingua veneta,Dictionary  Venetian Language149  Gianfranco Cavallin150
Turkish,32021,,Nişanyan Sözlük,"Turkish etymological dictionary includes 32,021 entries151"
Lezgi,28000,,Лезгинскорусский словарь   Талибов   Гаджиев,LezgiRussian dictionary   Talibov   Gadzhiev152
Middle Dutch,25000,,Het Vroegmiddelnederlands Woordenboek,Historical dictionary  Middle Dutch 12001300154
Old Swedish,22894,,Ordbok öfver svenska medeltidsspråket,"The dictionary includes around 22,894 headwords   volumes156 and with supplement   volumes 21,495 headwords the dictionary includes 44,389 headwords157"
Chechen,20000,,Чеченскорусский словарь Алироев  Хамидова  Алексеев ,ChechenRussian dictionary  Aliroev  Khamidova  Alekseev158
Kabardian,20000,,Кабардинскорусский словарь   Апажев   Багов,KabardianRussian dictionary   Apazhev   Bagov159
Quechua,20000,,Diccionario QuechuaEspañol Lira Jorge,QuechuaSpanish dictionary Lira Jorge160
Swedish,20000,,Svensk etymologisk ordbok,"The dictionary includes around 20,000 headwords162"
Esperanto,16780,,Plena Ilustrita Vortaro  Esperanto Complete Illustrated Dictionary  Esperanto,"46,890 lexical units163"
Ingush,11142,,Ингушскорусский словарь   Мургустов,IngushRussian dictionary   Murgustov164
Nahuatl,10500,,Tlahtolxitlauhcayotl Chicontepec Veracruz,Huasteca Nahuatl monolingual dictionary with 10 500 entries  which 360 are loanwords authored  John Joseph Sullivan165
Russian,10000,,Словарь ударений русского языка,Normative dictionary  stresses167
Old Dutch,9000,,Het Oudnederlands Woordenboek,154
